x,y,c,size,summary
2/16/88,7,1,14,"Former ESL Incorporated employee Richard Farley, 39, gunned down seven people at his former workplace, after stalking and harassing a coworker he was romantically interested in. He was later arrested and now sits on death row at San Quentin."
2/16/88,4,2,8,"Former ESL Incorporated employee Richard Farley, 39, gunned down seven people at his former workplace, after stalking and harassing a coworker he was romantically interested in. He was later arrested and now sits on death row at San Quentin."
4/23/87,6,1,12,"Retired librarian William Cruse, 59, was paranoid neighbors gossiped that he was gay. He drove to a Publix supermarket, killing two Florida Tech students en route before opening fire outside and killing a woman. He then drove to a Winn-Dixie supermarket and killed three more, including two police officers. Cruse was arrested after taking a hostage and died on death row in 2009."
4/23/87,14,2,28,"Retired librarian William Cruse, 59, was paranoid neighbors gossiped that he was gay. He drove to a Publix supermarket, killing two Florida Tech students en route before opening fire outside and killing a woman. He then drove to a Winn-Dixie supermarket and killed three more, including two police officers. Cruse was arrested after taking a hostage and died on death row in 2009."
8/20/86,15,1,30,"Postal worker Patrick Sherrill, 44, opened fire at a post office before committing suicide."
8/20/86,6,2,12,"Postal worker Patrick Sherrill, 44, opened fire at a post office before committing suicide."
7/18/84,22,1,44,"James Oliver Huberty, 41, opened fire in a McDonald's restaurant before he was shot dead by a police officer."
7/18/84,19,2,38,"James Oliver Huberty, 41, opened fire in a McDonald's restaurant before he was shot dead by a police officer."
6/29/84,6,1,12,"Abdelkrim Belachheb, 39, opened fire at an upscale nightclub after a woman rejected his advances. He was later arrested."
6/29/84,1,2,2,"Abdelkrim Belachheb, 39, opened fire at an upscale nightclub after a woman rejected his advances. He was later arrested."
8/20/82,8,1,16,"Junior high school teacher Carl Robert Brown, 51, opened fire inside a welding shop and was later shot dead by a witness as he fled the scene."
8/20/82,3,2,6,"Junior high school teacher Carl Robert Brown, 51, opened fire inside a welding shop and was later shot dead by a witness as he fled the scene."
1/1/80,0,0,0,No Event
1/1/89,0,0,0,No Event
